age,language,urban_rural,region,electricity_nearby,piped_water_nearby,sweage_system_nearby,post_office_nearby,school_nearby,soldiers_nearby,customs_checkpoints_nearby,situation_country,situation_personal,armed_forces_trust,courts_law_trust
78,Other,Rural,"NASARAWA",Yes,No,No,No,No,No,No,Very Bad,Neither good nor bad,Not at all,Just a little
70,Other,Rural,"NASARAWA",Yes,No,No,No,No,No,No,Very Bad,Very Bad,Somewhat,Not at all
19,English,Rural,"NASARAWA",Yes,No,No,No,No,No,No,Fairly Good,Fairly Good,Just a little,Just a little
41,Yoruba,Urban,FCT ABUJA,Yes,Yes,No,No,Yes,No,No,Very Bad,Neither good nor bad,Just a little,Just a little
21,English,Urban,FCT ABUJA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Neither good nor bad,Just a little,Just a little
21,Hausa,Urban,FCT ABUJA,Yes,Yes,No,No,Yes,No,No,Very Bad,Fairly Good,A lot,A lot
36,Tiv,Urban,FCT ABUJA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
58,Igbo,Urban,IMO,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,A lot,Somewhat
22,English,Urban,FCT ABUJA,Yes,Yes,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
21,English,Urban,FCT ABUJA,Yes,Yes,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,A lot,A lot
37,Ebira,Urban,FCT ABUJA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Good,Somewhat,Somewhat
20,Hausa,Urban,FCT ABUJA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Very Bad,A lot,Not at all
24,Igbo,Urban,ANAMBRA,Yes,No,No,No,Yes,No,No,Fairly Good,Neither good nor bad,Somewhat,A lot
20,English,Urban,IMO,Yes,Yes,Yes,No,Yes,Yes,No,Fairly Bad,Fairly Good,Somewhat,Somewhat
65,English,Urban,IMO,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Fairly Bad,Not at all,Not at all
22,English,Urban,IMO,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Not at all,Not at all
24,Other,Rural,"NASARAWA",No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Somewhat
35,Other,Rural,"NASARAWA",No,No,No,No,Yes,No,No,Fairly Bad,Very Bad,Somewhat,Somewhat
28,English,Rural,FCT ABUJA,Yes,No,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,Not at all,Not at all
22,English,Rural,FCT ABUJA,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
36,Yoruba,Rural,FCT ABUJA,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
19,Other,Rural,"NASARAWA",No,No,No,No,Yes,No,No,Fairly Good,Fairly Bad,A lot,A lot
50,English,Rural,"NASARAWA",No,No,No,No,Yes,No,No,Very Bad,Very good,A lot,Not at all
41,Pidgin English,Rural,FCT ABUJA,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Good,Somewhat,Just a little
60,Igbo,Urban,ANAMBRA,Yes,No,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Not at all,Not at all
37,Hausa,Urban,SOKOTO,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Good,Not at all,Just a little
28,Hausa,Urban,SOKOTO,Yes,Yes,Yes,No,Yes,No,No,Refused,Neither good nor bad,Somewhat,Somewhat
39,Hausa,Rural,"NASARAWA",No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Don’t know
32,Hausa,Urban,SOKOTO,Yes,Yes,Yes,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Somewhat
65,English,Urban,SOKOTO,Yes,Yes,Yes,No,Yes,No,No,Fairly Good,Fairly Good,A lot,A lot
32,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,Yes,No,Don't know,Neither good nor bad,Somewhat,Not at all
70,Igbo,Urban,ANAMBRA,Yes,No,No,No,Yes,No,No,Very Bad,Neither good nor bad,Just a little,Not at all
20,English,Urban,ANAMBRA,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,A lot,Somewhat
28,Igbo,Urban,ANAMBRA,Yes,No,No,No,Yes,No,No,Neither good nor bad,Very good,Not at all,Just a little
33,English,Urban,IMO,Yes,Yes,Yes,No,Yes,Yes,No,Fairly Bad,Fairly Bad,A lot,Not at all
85,Other,Rural,"NASARAWA",No,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Don’t know,Don’t know
26,English,Rural,FCT ABUJA,Yes,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Somewhat,Somewhat
62,Igbo,Rural,FCT ABUJA,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,A lot,Don’t know
19,English,Rural,"NASARAWA",No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Not at all
19,Other,Rural,"NASARAWA",No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Don’t know,Just a little
50,English,Urban,IMO,Yes,Yes,Yes,No,Yes,Yes,No,Neither good nor bad,Very Bad,Just a little,Not at all
20,Other,Rural,FCT ABUJA,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
31,Pidgin English,Urban,ANAMBRA,Yes,No,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Somewhat,Somewhat
32,English,Urban,IMO,Yes,Yes,Yes,No,Yes,Yes,No,Fairly Bad,Fairly Bad,A lot,Not at all
60,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,Yes,No,Very Bad,Very Bad,A lot,Just a little
18,Hausa,Urban,SOKOTO,Yes,Yes,Yes,No,Yes,No,No,Fairly Good,Fairly Bad,Not at all,Not at all
20,Igbo,Rural,FCT ABUJA,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
18,Hausa,Urban,SOKOTO,Yes,Yes,Yes,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,A lot
40,Hausa,Urban,SOKOTO,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
19,Hausa,Urban,SOKOTO,Yes,Yes,Yes,No,Yes,No,No,Neither good nor bad,Fairly Good,A lot,A lot
53,English,Urban,ANAMBRA,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,A lot
61,English,Urban,ANAMBRA,Yes,No,No,No,Yes,No,No,Neither good nor bad,Very Bad,Just a little,Just a little
38,English,Urban,IMO,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
37,English,Urban,SOKOTO,Yes,Yes,Yes,Can't determine,Yes,No,No,Fairly Good,Fairly Good,Just a little,A lot
20,Yoruba,Urban,SOKOTO,Yes,Yes,Yes,Can't determine,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
21,English,Urban,SOKOTO,Yes,Yes,Yes,Can't determine,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
29,Hausa,Urban,SOKOTO,Yes,Yes,Yes,Can't determine,Yes,No,No,Fairly Good,Very good,Somewhat,Just a little
67,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,No,No,Fairly Bad,Very Bad,A lot,Don’t know
40,English,Urban,IMO,Yes,Yes,Yes,No,Yes,No,No,Don't know,Very good,Not at all,Not at all
52,English,Urban,IMO,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
22,Hausa,Urban,SOKOTO,Yes,Yes,Yes,Can't determine,Yes,No,No,Fairly Good,Neither good nor bad,Just a little,Just a little
36,English,Urban,SOKOTO,Yes,Yes,Yes,Can't determine,Yes,No,No,Very Bad,Fairly Good,Just a little,Just a little
31,English,Urban,SOKOTO,Yes,Yes,Yes,Can't determine,Yes,No,No,Very Bad,Very Bad,Not at all,Somewhat
42,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
21,English,Urban,SOKOTO,Yes,Yes,Yes,Can't determine,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
35,Hausa,Urban,"NASARAWA",Yes,No,Yes,No,Yes,No,No,Fairly Good,Fairly Good,Not at all,Somewhat
33,English,Urban,IMO,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Fairly Bad,Not at all,Just a little
25,Other,Urban,"NASARAWA",Yes,No,Yes,No,Yes,No,No,Very Bad,Fairly Good,Not at all,Somewhat
50,Igbo,Urban,IMO,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
29,English,Urban,IMO,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Very Bad,Not at all,Not at all
56,English,Urban,"NASARAWA",Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Not at all
35,Igbo,Urban,"NASARAWA",Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
26,English,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,Can't determine,No,Very Bad,Very Bad,Not at all,Not at all
48,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,Can't determine,No,Very Bad,Fairly Bad,Just a little,Not at all
30,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,Can't determine,No,Very Bad,Fairly Good,A lot,Not at all
45,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,Can't determine,No,Neither good nor bad,Fairly Good,Somewhat,Somewhat
24,Hausa,Urban,"NASARAWA",Yes,No,Yes,No,Yes,No,No,Fairly Good,Fairly Good,Not at all,Not at all
35,Hausa,Urban,"NASARAWA",Yes,No,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
25,English,Urban,"NASARAWA",Yes,No,Yes,No,Yes,No,No,Fairly Bad,Very good,Somewhat,Just a little
20,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,Can't determine,No,Fairly Bad,Fairly Bad,Just a little,Just a little
19,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,Can't determine,No,Very Bad,Very Bad,Not at all,Just a little
40,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,Can't determine,No,Very Bad,Very Bad,Just a little,Somewhat
30,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,Can't determine,No,Very Bad,Neither good nor bad,Not at all,Somewhat
30,Hausa,Rural,SOKOTO,No,No,No,No,Yes,No,Yes,Fairly Good,Neither good nor bad,Just a little,Just a little
35,Hausa,Rural,SOKOTO,No,No,No,No,Yes,No,Yes,Fairly Good,Fairly Good,Somewhat,Somewhat
20,Hausa,Rural,SOKOTO,No,No,No,No,Yes,No,Yes,Fairly Bad,Very Bad,Just a little,Somewhat
20,Hausa,Rural,SOKOTO,No,No,No,No,Yes,No,Yes,Neither good nor bad,Neither good nor bad,Don’t know,Don’t know
28,English,Rural,IMO,Yes,No,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Just a little,Not at all
36,Pidgin English,Rural,IMO,Yes,No,Yes,No,Yes,Yes,No,Very Bad,Fairly Bad,Just a little,Not at all
60,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,Yes,No,Neither good nor bad,Very Bad,Not at all,Not at all
35,Hausa,Rural,KADUNA,No,No,No,No,No,No,No,Fairly Good,Fairly Good,Just a little,Just a little
25,Hausa,Rural,KADUNA,No,No,No,No,No,No,No,Fairly Good,Fairly Good,Somewhat,Just a little
46,Hausa,Rural,SOKOTO,No,No,No,No,Yes,No,Yes,Fairly Bad,Fairly Bad,Not at all,Not at all
40,Hausa,Rural,SOKOTO,No,No,No,No,Yes,No,Yes,Fairly Good,Neither good nor bad,Just a little,Just a little
30,Hausa,Rural,KADUNA,No,No,No,No,No,No,No,Very good,Very good,A lot,A lot
39,Hausa,Rural,KADUNA,No,No,No,No,No,No,No,Fairly Good,Fairly Good,Somewhat,Not at all
41,Hausa,Rural,SOKOTO,No,No,No,No,Yes,No,Yes,Fairly Good,Neither good nor bad,Somewhat,Somewhat
33,Hausa,Rural,SOKOTO,No,No,No,No,Yes,No,Yes,Very good,Very good,Somewhat,A lot
52,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Not at all,Not at all
32,Igbo,Rural,ANAMBRA,Yes,No,No,No,Yes,No,No,Very Bad,Neither good nor bad,Somewhat,Not at all
40,Igbo,Rural,ANAMBRA,Yes,No,No,No,Yes,No,No,Very good,Very good,A lot,A lot
62,Igbo,Rural,ANAMBRA,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Don’t know,Refused
38,Igbo,Rural,ANAMBRA,Yes,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Not at all,Just a little
41,Pidgin English,Rural,IMO,Yes,No,Yes,No,Yes,Yes,No,Neither good nor bad,Neither good nor bad,Just a little,Not at all
35,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,Yes,No,Fairly Good,Fairly Good,Not at all,Not at all
20,Hausa,Rural,KADUNA,No,No,No,No,No,No,No,Very good,Very good,Not at all,Not at all
29,Hausa,Rural,KADUNA,No,No,No,No,No,No,No,Fairly Bad,Fairly Good,A lot,Don’t know
21,Hausa,Rural,KADUNA,No,No,No,No,No,No,No,Fairly Good,Fairly Good,Just a little,Just a little
64,Hausa,Rural,KADUNA,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,A lot,A lot
43,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Fairly Good,Fairly Good,A lot,A lot
20,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Very good,Very good,A lot,A lot
18,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Fairly Bad,Neither good nor bad,Not at all,Not at all
20,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Fairly Good,Fairly Good,A lot,Just a little
27,Igbo,Rural,ANAMBRA,Yes,No,No,No,Yes,No,No,Very good,Very good,Not at all,Somewhat
18,English,Rural,ANAMBRA,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Just a little
55,Igbo,Rural,ANAMBRA,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,A lot
45,Igbo,Rural,ANAMBRA,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Somewhat,Just a little
22,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Very good,Very good,Just a little,Somewhat
49,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
20,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Fairly Good,Fairly Good,Just a little,Just a little
22,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Fairly Good,Neither good nor bad,Not at all,Just a little
28,English,Rural,IMO,Yes,No,Yes,No,Yes,No,No,Very Bad,Fairly Good,Just a little,Just a little
22,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,No,No,Neither good nor bad,Fairly Good,Not at all,Not at all
32,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
43,Hausa,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,A lot,Not at all
24,Hausa,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,Somewhat
35,Hausa,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,A lot
60,Hausa,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Very good,A lot,A lot
25,Igbo,Urban,ANAMBRA,Yes,Can't determine,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Just a little,Somewhat
45,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
19,English,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
19,Hausa,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Good,Not at all,Don’t know
37,Igbo,Rural,IMO,Yes,No,Yes,No,Yes,No,No,Very Bad,Very good,Not at all,A lot
24,Hausa,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
26,English,Rural,IMO,Yes,No,Yes,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Not at all
35,Hausa,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Very good,Very good,A lot,Somewhat
35,Igbo,Urban,ANAMBRA,Yes,Can't determine,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Somewhat
22,Igbo,Urban,ANAMBRA,Yes,Can't determine,No,No,Yes,No,No,Fairly Good,Very Bad,Just a little,Just a little
20,Igbo,Urban,ANAMBRA,Yes,Can't determine,No,No,Yes,No,No,Very Bad,Fairly Good,A lot,Just a little
19,Igbo,Urban,ANAMBRA,Yes,Can't determine,No,No,Yes,No,No,Very good,Fairly Good,A lot,A lot
30,Igbo,Urban,ANAMBRA,Yes,Can't determine,No,No,Yes,No,No,Fairly Good,Neither good nor bad,A lot,Somewhat
23,Igbo,Urban,ANAMBRA,Yes,Can't determine,No,No,Yes,No,No,Fairly Bad,Fairly Good,Just a little,Not at all
53,Igbo,Urban,ANAMBRA,Yes,Can't determine,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
40,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,No,No,Very Bad,Fairly Bad,Somewhat,Somewhat
26,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
25,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
70,Igbo,Rural,IMO,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Just a little
65,English,Rural,IMO,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Don’t know
75,Igbo,Rural,IMO,Yes,No,No,No,Yes,No,No,Very good,Fairly Good,Not at all,Not at all
35,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,No,No,Fairly Bad,Neither good nor bad,Somewhat,Not at all
50,Igbo,Rural,IMO,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
62,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,No,No,Very Bad,Fairly Good,Just a little,Not at all
18,Igbo,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,No,No,Very good,Very good,Not at all,Not at all
22,Pidgin English,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,No,No,Very Bad,Fairly Good,Not at all,Not at all
20,Other,Rural,KOGI,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Not at all
27,Hausa,Rural,SOKOTO,No,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
43,Other,Rural,KOGI,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Not at all
58,Hausa,Rural,SOKOTO,No,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,A lot
25,Hausa,Rural,SOKOTO,No,Yes,No,No,Yes,No,No,Very good,Very good,Not at all,Not at all
19,Hausa,Rural,SOKOTO,No,Yes,No,No,Yes,No,No,Neither good nor bad,Fairly Bad,A lot,Somewhat
42,English,Urban,ANAMBRA,Yes,No,No,Can't determine,Yes,No,No,Very Bad,Very Bad,Not at all,A lot
24,Igbo,Rural,IMO,Yes,No,No,No,Yes,No,No,Very Bad,Neither good nor bad,Just a little,A lot
18,Pidgin English,Rural,IMO,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
25,English,Rural,IMO,Yes,No,No,No,Yes,No,No,Fairly Bad,Very Bad,Just a little,Not at all
52,Other,Rural,KOGI,No,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,A lot
18,Other,Rural,KOGI,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Not at all
25,Other,Rural,KOGI,No,No,No,No,Yes,No,No,Fairly Bad,Very Bad,Somewhat,Not at all
27,English,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,A lot,A lot
24,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Not at all
39,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Very good,Fairly Good,A lot,Somewhat
39,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Just a little,Just a little
45,Igbo,Rural,IMO,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
42,Hausa,Rural,SOKOTO,No,Yes,No,No,Yes,No,No,Very good,Very good,Somewhat,Not at all
18,Hausa,Rural,SOKOTO,No,Yes,No,No,Yes,No,No,Fairly Good,Very good,Just a little,Just a little
31,Hausa,Rural,SOKOTO,No,Yes,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Just a little,Just a little
23,Hausa,Rural,SOKOTO,No,Yes,No,No,Yes,No,No,Very good,Fairly Good,Not at all,Not at all
42,Isoko,Rural,KOGI,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Not at all
26,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Somewhat,Just a little
23,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Not at all,Not at all
21,Other,Rural,KOGI,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Not at all,Not at all
49,Other,Rural,KOGI,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Not at all
36,English,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,A lot
32,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,A lot,Somewhat
47,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Very good,Very good,Not at all,Not at all
25,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Fairly Good,Very good,A lot,Somewhat
35,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Very Bad,Very Bad,Not at all,A lot
29,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Fairly Good,Fairly Good,Just a little,Just a little
20,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Very good,Fairly Good,Somewhat,Somewhat
45,Igbo,Urban,DELTA,No,No,No,No,No,No,No,Very Bad,Neither good nor bad,Not at all,Not at all
50,Igbo,Urban,DELTA,No,No,No,No,No,No,No,Very Bad,Very Bad,Not at all,Not at all
27,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Very good,Very good,Somewhat,Just a little
30,Igbo,Urban,DELTA,No,No,No,No,No,No,No,Very Bad,Fairly Bad,Just a little,Just a little
20,Igbo,Urban,DELTA,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
35,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
27,Hausa,Rural,SOKOTO,No,No,No,No,No,No,No,Very good,Very good,Not at all,Not at all
70,Igbo,Urban,DELTA,No,No,No,No,No,No,No,Very Bad,Very Bad,Somewhat,Not at all
25,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Very good,Very good,A lot,A lot
31,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Not at all
42,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,A lot,A lot
21,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Neither good nor bad,A lot,A lot
52,Igbo,Urban,DELTA,No,No,No,No,No,No,No,Fairly Bad,Fairly Good,Not at all,Not at all
35,Igbo,Urban,DELTA,No,No,No,No,No,No,No,Very good,Very good,A lot,A lot
30,Igbo,Urban,DELTA,No,No,No,No,No,No,No,Very Bad,Fairly Good,Somewhat,Just a little
27,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Very good,Very good,Somewhat,Somewhat
35,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Somewhat,Somewhat
22,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Somewhat
25,Hausa,Urban,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Neither good nor bad,Somewhat,Somewhat
21,Pidgin English,Rural,ABIA,Yes,Yes,Yes,No,No,No,No,Fairly Bad,Neither good nor bad,Somewhat,Not at all
35,Igbo,Rural,ABIA,Yes,Yes,Yes,No,No,No,No,Fairly Good,Very Bad,Just a little,Just a little
25,Ebira,Urban,KOGI,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
45,Ebira,Urban,KOGI,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
42,English,Rural,ABIA,Yes,Yes,Yes,No,No,No,No,Very Bad,Very Bad,Just a little,Not at all
72,Igbo,Rural,ABIA,Yes,Yes,Yes,No,No,No,No,Very Bad,Very Bad,Somewhat,Just a little
35,Ebira,Urban,KOGI,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Good,Not at all,Not at all
29,Ebira,Urban,KOGI,Yes,No,No,No,Yes,No,No,Very good,Fairly Bad,A lot,A lot
