Altitud, superfície i població. Municipis
2019
"Font: Institut Cartogràfic de Catalunya; Idescat. Padró municipal d'habitants."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15903&t=201900
Municipi;Comarca;Codi;Altitud  (m);Superfície  (km²);Població
Vajol, la;Alt Empordà;170144;546;4,71;89
Vall d'en Bas, la;Garrotxa;172076;510;90,67;3072
Vall de Bianya, la;Garrotxa;172082;367;93,62;1264
Vall de Boí, la;Alta Ribagorça;250432;1111;219,49;1021
Vall de Cardós;Pallars Sobirà;259010;898;56,20;364
Vallbona d'Anoia;Anoia;082922;289;6,45;1373
Vallbona de les Monges;Urgell;252385;481;34,14;233
Vallcebre;Berguedà;082938;1123;27,99;250
Vallclara;Conca de Barberà;431589;625;13,63;98
Vallfogona de Balaguer;Noguera;252402;235;26,97;1876
Vallfogona de Ripollès;Ripollès;171707;956;39,20;206
Vallfogona de Riucorb;Conca de Barberà;431592;573;10,94;91
Vallgorguina;Vallès Oriental;082943;222;22,13;2891
Vallirana;Baix Llobregat;082956;177;23,88;15006
Vall-llobrega;Baix Empordà;172095;49;5,45;899
Vallmoll;Alt Camp;431606;161;16,68;1756
Vallromanes;Vallès Oriental;082969;153;10,65;2579
Valls;Alt Camp;431613;215;55,28;24359
Valls d'Aguilar, les;Alt Urgell;259062;669;123,81;260
Valls de Valira, les;Alt Urgell;252398;740;171,25;791
Vandellòs i l'Hospitalet de l'Infant;Baix Camp;431628;281;102,67;6482
Vansa i Fórnols, la;Alt Urgell;259097;989;106,08;161
Veciana;Anoia;082975;564;38,90;182
Vendrell, el;Baix Penedès;431634;49;36,80;37606
Ventalló;Alt Empordà;172109;28;25,05;859
Verdú;Urgell;252424;434;35,79;919
Verges;Baix Empordà;172116;23;9,70;1171
Vespella de Gaià;Tarragonès;431649;191;18,04;410
Vic;Osona;082981;484;30,58;46214
Vidrà;Osona;172121;982;34,39;167
Vidreres;Selva;172137;93;48,05;7797
Vielha e Mijaran;Val d'Aran;252430;974;211,74;5559
Vilabella;Alt Camp;431652;254;18,19;736
Vilabertran;Alt Empordà;172142;19;2,29;979
Vilablareix;Gironès;172155;99;6,17;2897
Vilada;Berguedà;082994;757;22,34;416
Viladamat;Alt Empordà;172174;13;11,73;468
Viladasens;Gironès;172168;96;15,74;200
Viladecans;Baix Llobregat;083015;18;20,40;66611
Viladecavalls;Vallès Occidental;083008;274;20,09;7512
Vilademuls;Pla de l'Estany;172180;120;61,54;815
Viladrau;Osona;172207;821;50,73;1040
Vilafant;Alt Empordà;172214;54;8,36;5394
Vilafranca del Penedès;Alt Penedès;083054;223;19,65;39746
Vilagrassa;Urgell;252445;355;19,87;541
Vilajuïga;Alt Empordà;172235;31;13,13;1104
Vilalba dels Arcs;Terra Alta;431750;450;67,25;625
Vilalba Sasserra;Vallès Oriental;083067;200;6,05;716
Vilaller;Alta Ribagorça;252458;981;59,23;561
Vilallonga de Ter;Ripollès;172240;1067;64,20;398
Vilallonga del Camp;Tarragonès;431665;124;9,04;2389
Vilamacolum;Alt Empordà;172253;5;5,57;348
Vilamalla;Alt Empordà;172266;45;8,77;1181
Vilamaniscle;Alt Empordà;172272;169;5,46;200
Vilamòs;Val d'Aran;252477;1255;15,44;187
Vilanant;Alt Empordà;172288;98;16,87;392
Vilanova d'Escornalbou;Baix Camp;431671;226;17,16;545
Vilanova de Bellpuig;Pla d'Urgell;252483;290;13,98;1181
Vilanova de l'Aguda;Noguera;252496;409;53,68;197
Vilanova de la Barca;Segrià;252542;195;21,55;1036
Vilanova de Meià;Noguera;252509;633;105,24;389
Vilanova de Prades;Conca de Barberà;431687;893;21,51;112
Vilanova de Sau;Osona;083036;558;58,84;299
Vilanova de Segrià;Segrià;252516;255;8,51;977
Vilanova del Camí;Anoia;083020;302;10,28;12458
Vilanova del Vallès;Vallès Oriental;089024;91;15,20;5432
Vilanova i la Geltrú;Garraf;083073;22;33,99;67086
Vilaplana;Baix Camp;431690;366;23,20;574
Vila-rodona;Alt Camp;431704;259;33,11;1255
Vila-sacra;Alt Empordà;172305;16;6,03;760
Vila-sana;Pla d'Urgell;252521;249;19,10;742
Vila-seca;Tarragonès;431711;45;21,64;22187
Vilassar de Dalt;Maresme;082140;142;8,86;9043
Vilassar de Mar;Maresme;082191;10;4,00;20837
Vilaür;Alt Empordà;172229;65;5,49;157
Vilaverd;Conca de Barberà;431726;269;12,61;452
Vilella Alta, la;Priorat;431732;327;5,15;135
Vilella Baixa, la;Priorat;431747;218;5,62;202
Vilobí d'Onyar;Selva;172333;122;32,59;3291
Vilobí del Penedès;Alt Penedès;083041;286;9,34;1107
Vilopriu;Baix Empordà;172327;82;16,38;202
Vilosell, el;Garrigues;252537;665;18,88;169
Vimbodí i Poblet;Conca de Barberà;431763;496;66,09;892
Vinaixa;Garrigues;252555;479;37,59;470
Vinebre;Ribera d'Ebre;431779;34;26,44;428
Vinyols i els Arcs;Baix Camp;431785;95;10,83;2056
Viver i Serrateix;Berguedà;083089;729;66,80;168
Xerta;Baix Ebre;430521;12;32,39;1170

